trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,0,34.23390915835924,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,3,-6.4170312735821256,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,0,24.011103601527914,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22763768838381274}",30,14,-2.448457699886749,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,8,20.73989177894024,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,18,9.579667869978328,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,18,14.49268649085482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,16,15.864380052682957,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,8,24.39555907414657,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,15,18.544475702336506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,10,18.79422851434111,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,8,8.093122084489654,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,7,20.446999657679918,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,12,-63.115251450550595,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,20,11.869555576803702,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,15,18.313132046601176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17552040061699686}",30,13,-47.56646851999012,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,3,-23.92496327846321,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,19,12.602472201744215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,3,20.435162185855734,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.16202575093388075}",25,19,5.230500721173836,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15881742610692068}",20,9,-30.789223701652517,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,18,-7.1400317125446495,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.15259010575688386}",25,13,20.718168070675674,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,14,-21.31715696463551,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,14,-20.913713894559653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.14370394977770293}",25,9,19.616368803680878,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.140858420921045}",25,14,21.105037161544317,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13806923731089282}",25,11,24.61572259008885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,0,-50.66321757116431,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.13265546508012172}",20,16,5.824217200541058,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.1300287108784259}",25,14,17.154078025899047,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
